"","Site ID","17-alpha-Estradiol","17-beta-Estradiol","3-beta-Coprostanol","Cholesterol","cis-Androsterone","Estrone","Testosterone","trans-Diethylstilbestrol","3,4-Dichloroaniline","3,5-Dichloroaniline","Atrazine","Azoxystrobin","Bifenthrin","Boscalid","Carbaryl","Chlorothalonil","Dacthal (DCPA)","Fenhexamid","Fipronil","Fipronil sulfone","Iprodione","Metalaxyl","Metolachlor","Myclobutanil","Pendimethalin","Prometon","Simazine","Tebuconazole","day","month","year","Discharge (cfs)","E2EqBLYES (ng/L)"
"85","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,2016,990,0
"86","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2016,1060,0
"87","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7,6,2016,576,0
"88","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,2016,202,1
"89","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2016,88.8,0
"90","Pine Cr Waterville",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2016,124,0
"91","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,2016,37.8,0
"92","Pine Cr Waterville",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2016,70.8,0
"93","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,2016,338,0
"94","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2017,1170,0
"95","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2017,1360,0
"96","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2017,5020,1
"97","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2017,5490,0
"98","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2017,1390,0
"99","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,2017,3540,0
"100","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,5,2017,1520,0
"101","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2017,271,0
"102","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2017,140,0
"103","SB Potomac, Moorefield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,2014,2320,1
"104","SB Potomac, Moorefield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2015,829,1
"105","SB Potomac, Moorefield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2015,1480,0
"106","SB Potomac, Moorefield",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,2015,4210,0
"107","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2015,1790,0
"108","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,2015,648,0
"109","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,645,1
"110","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,2015,427,1
"111","SB Potomac, Moorefield",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,6,2015,1960,1
"112","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2015,916,1
"113","SB Potomac, Moorefield",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,8,2015,217,1
"114","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,2015,264,1
"115","SB Potomac, Moorefield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,2015,787,1
"116","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,12,2015,615,1
"117","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2016,8620,0
"118","SB Potomac, Moorefield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2016,2340,0
"119","SB Potomac, Moorefield",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2016,701,1
"120","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,2016,613,1
"121","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2016,2760,1
"122","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,5,2016,1850,1
"123","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2016,1370,0
"124","SB Potomac, Moorefield",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6,6,2016,2240,0
"125","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,6,2016,513,1
"126","SB Potomac, Moorefield",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,7,2016,919,0
